signal_id,true_label,agent_action,route_taken,agent_confidence,label_match,is_quarantined,high_risk_hits,max_risk_score,ml_risk_prob,ml_shannon_entropy,rag_similarity,structural_hallucination_rate,calibration_error,flag_epistemic_uncertainty,flag_retrieval_uncertainty,flag_structural_hallucination,flag_overconfident_llm
PF-869167,VALID,VALID,ESCALATION_RAG_LLM,0.95,True,False,5,0.9,0.9068444158038546,0.44691594920678435,0.4978,0.0,0.0431555841961454,True,False,False,False
PF-559239,PHISHING,PHISHING,ESCALATION_RAG_LLM,0.957,True,False,4,0.95,0.9569541047387862,0.25608731099025084,0.21919999999999995,0.0,4.589526121379084e-05,False,False,False,False
PF-816205,SPAM,VALID,ESCALATION_RAG_LLM,0.95,False,False,5,0.95,0.8584250137647423,0.5883487431646638,0.13590000000000002,0.0,0.09157498623525762,True,False,False,False
PF-924939,PHISHING,PHISHING,ESCALATION_RAG_LLM,0.95,True,False,5,0.95,0.9545164556747459,0.26689234607008694,0.15539999999999998,0.0,0.004516455674745901,False,False,False,False
PF-711036,VALID,VALID,ESCALATION_RAG_LLM,0.9083,True,False,5,0.95,0.9083163416670993,0.4420648209482321,0.20730000000000004,0.0,1.634166709929552e-05,True,False,False,False
PF-938083,PHISHING,PHISHING,ESCALATION_RAG_LLM,0.95,True,False,5,0.95,0.9594896810522089,0.24462711001708984,0.3035,0.0,0.009489681052208931,False,False,False,False
PF-208062,VALID,VALID,ESCALATION_RAG_LLM,0.7389,True,False,5,0.95,0.7388854330909574,0.8284236159870995,0.28500000000000003,0.0,1.4566909042557086e-05,True,False,False,False
PF-241671,PHISHING,VALID,ESCALATION_RAG_LLM,0.98,False,False,5,0.95,0.9203544407518497,0.40092906331732653,0.26749999999999996,0.0,0.05964555924815029,True,False,False,False
PF-826792,VALID,SPAM,ESCALATION_RAG_LLM,0.95,False,False,5,0.95,0.9568089542897056,0.2567364184408534,0.18589999999999995,0.0,0.0068089542897056266,False,False,False,False
PF-578649,VALID,VALID,ESCALATION_RAG_LLM,0.9488,True,False,5,0.96,0.9488184967051151,0.29139485454756864,0.18589999999999995,0.0,1.8496705115111922e-05,True,False,False,False
PF-457085,VALID,VALID,ESCALATION_RAG_LLM,0.9574,True,False,5,0.95,0.9573586762784148,0.254274179908536,0.23960000000000004,0.0,4.132372158527353e-05,False,False,False,False
PF-613596,VALID,VALID,ESCALATION_RAG_LLM,0.9239,True,False,5,0.95,0.9239350076574274,0.3881598567972282,0.2156,0.0,3.500765742736611e-05,True,False,False,False
PF-608068,VALID,VALID,ESCALATION_RAG_LLM,0.9558,True,False,5,0.9,0.9558097758000441,0.26118487378535205,0.21989999999999998,0.0,9.7758000441317e-06,False,False,False,False
PF-416712,VALID,VALID,ESCALATION_RAG_LLM,0.7431,True,False,5,0.95,0.7430921811328162,0.822044287760219,0.25039999999999996,0.0,7.818867183817524e-06,True,False,False,False
PF-860100,VALID,VALID,ESCALATION_RAG_LLM,0.95,True,False,5,0.95,0.8658646808161893,0.5686712127728761,0.2953,0.0,0.08413531918381068,True,False,False,False
PF-805864,SPAM,SPAM,ESCALATION_RAG_LLM,0.95,True,False,5,0.95,0.9565751430981896,0.2577804678350776,0.13129999999999997,0.0,0.006575143098189629,False,False,False,False
PF-633060,VALID,VALID,ESCALATION_RAG_LLM,0.9213,True,False,5,0.9,0.9213317881014461,0.3974690800021997,0.4034,0.0,3.178810144610633e-05,True,False,False,False
PF-318897,VALID,VALID,ESCALATION_RAG_LLM,0.8872,True,False,5,0.9,0.8871608109900772,0.5084208561038283,0.1683,0.0,3.918900992283536e-05,True,False,False,False
